"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
464,Marrage Story,2019,297423,7.9,15,137 mn,"Drama, Romance",94,Noah Baumbach's ncsve and compassonate look at a marrage breakng up and a famly stayng together.,Noah Baumbach,Adam Drver,Scarlett Johansson,Jula Greer,Azhy Robertson,$2.00M
465,Super 30,2019,30312,7.9,12A,154 mn,"Bography, Drama",,Based on the lfe of Patna-based mathematcan Anand Kumar who runs the famed Super 30 program for T asprants n Patna.,Vkas Bahl,Hrthk Roshan,Mrunal Thakur,Nandsh Sngh Sandhu,Vrendra Saxena,$2.27M
466,Padman,2018,25640,7.9,12A,140 mn,"Bography, Comedy, Drama",,"Upon realzng the extent to whch women are affected by ther menses, a man sets out to create a santary pad machne and to provde nexpensve santary pads to the women of rural nda.",R. Balk,Akshay Kumar,Radhka Apte,Sonam Kapoor,Jyot Subhash,$1.66M
467,Togo,2019,47611,7.9,Not Rated,113 mn,"Adventure, Bography, Drama",69,"The story of Togo, the sled dog who led the 1925 serum run despte beng consdered too small and weak to lead such an ntense race.",Ercson Core,Wllem Dafoe,Julanne Ncholson,Chrstopher Heyerdahl,Rchard Dormer,
468,Arlft,2016,56643,7.9,12A,130 mn,"Acton, Drama, Hstory",,"When raq nvades Kuwat n August 1990, a callous ndan busnessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,Akshay Kumar,Nmrat Kaur,Kumud Mshra,Prakash Belawad,
469,M.S. Dhon: The Untold Story,2016,54623,7.9,PG,184 mn,"Bography, Drama, Sport",,The untold story of 's journey from tcket collector to trophy collector - the world-cup-wnnng captan of the ndan Crcket Team.,Neeraj Pandey,Sushant Sngh Rajput,Kara Advan,Anupam Kher,Dsha Patan,$1.78M
470,Baby,2015,57235,7.9,15,159 mn,"Acton, Crme, Thrller",,"An elte counter-ntellgence unt learns of a plot, mastermnded by a manacal madman. Wth the clock tckng, t's up to them to track the terrorsts' nternatonal tentacles and prevent them from strkng at the heart of nda.",Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubat,Taapsee Pannu,
471,Sng Street,2016,92723,7.9,12A,106 mn,"Comedy, Drama, Musc",79,A boy growng up n Dubln durng the 1980s escapes hs straned famly lfe by startng a band to mpress the mysterous grl he lkes.,John Carney,Ferda Walsh-Peelo,Adan Gllen,Mara Doyle Kennedy,Jack Reynor,$3.24M
472,Thor: Ragnarok,2017,708240,7.9,12A,130 mn,"Acton, Adventure, Comedy",74,"mprsoned on the planet Sakaar, Thor must race aganst tme to return to Asgard and stop Ragnarök, the destructon of hs world, at the hands of the powerful and ruthless vllan Hela.",Taka Watt,Chrs Hemsworth,Tom Hddleston,Cate Blanchett,Mark Ruffalo,$315.06M
473,Jojo Rabbt,2019,372528,7.9,12A,108 mn,"Comedy, Drama, War",58,A young German boy n the Htler Youth whose hero and magnary frend s the country's dctator s shocked to dscover that hs mother s hdng a Jewsh grl n ther home.,Taka Watt,Roman Grffn Davs,Thomasn McKenze,Scarlett Johansson,Taka Watt,$0.35M
474,Wonder,2017,160874,7.9,PG,113 mn,"Drama, Famly",66,"Based on the New York Tmes bestseller, ths move tells the ncredbly nsprng and heartwarmng story of August Pullman, a boy wth facal dfferences who enters the ffth grade, attendng a manstream elementary school for the frst tme.",Stephen Chbosky,Jacob Tremblay,Owen Wlson,zabela Vdovc,Jula Roberts,$132.42M
475,Arrval,2016,674241,7.9,12A,116 mn,"Drama, Mystery, Sc-F",81,A lngust works wth the mltary to communcate wth alen lfeforms after twelve mysterous spacecraft appear around the world.,Dens Vlleneuve,Amy Adams,Jeremy Renner,Forest Whtaker,Mchael Stuhlbarg,$100.55M
476,Gully Boy,2019,38594,7.9,12A,154 mn,"Drama, Musc, Romance",65,A comng-of-age story based on the lves of street rappers n Mumba.,Zoya Akhtar,Ranveer Sngh,Ala Bhatt,Sddhant Chaturved,Vjay Raaz,$5.57M
477,Short Term 12,2013,87254,7.9,15,96 mn,Drama,82,A 20-somethng supervsng staff member of a resdental treatment faclty navgates the troubled waters of that world alongsde her co-worker and longtme boyfrend.,Destn Danel Cretton,Bre Larson,Frantz Turner,John Gallagher Jr.,Katlyn Dever,$1.01M
478,The Rad 2,2014,122228,7.9,18,150 mn,"Acton, Crme, Thrller",71,"Only a short tme after the frst rad, Rama goes undercover wth the thugs of Jakarta and plans to brng down the syndcate and uncover the corrupton wthn hs polce force.",Gareth Evans,ko Uwas,Yayan Ruhan,Arfn Putra,Oka Antara,$2.63M
479,Before Mdnght,2013,155238,7.9,15,109 mn,"Drama, Romance",94,We meet Jesse and Celne nne years on n Greece. Almost two decades have passed snce ther frst meetng on that tran bound for Venna.,Rchard Lnklater,Ethan Hawke,Jule Delpy,Seamus Davey-Ftzpatrck,Arane Labed,$8.11M
480,X-Men: Days of Future Past,2014,701665,7.9,12A,132 mn,"Acton, Adventure, Sc-F",75,The X-Men send Wolverne to the past n a desperate effort to change hstory and prevent an event that results n doom for both humans and mutants.,Bryan Snger,Patrck Stewart,an McKellen,Hugh Jackman,James McAvoy,$233.92M
481,The Batman,2022,525671,7.9,15,176 mn,"Acton, Crme, Drama",72,"When a sadstc seral kller begns murderng key poltcal fgures n Gotham, Batman s forced to nvestgate the cty's hdden corrupton and queston hs famly's nvolvement.",Matt Reeves,Robert Pattnson,Zoë Kravtz,Jeffrey Wrght,Coln Farrell,
482,Boheman Rhapsody,2018,521708,7.9,12A,134 mn,"Bography, Drama, Musc",49,"The story of the legendary Brtsh rock band  and lead snger , leadng up to ther famous performance at   1985 .",Bryan Snger,Ram Malek,Lucy Boynton,Gwlym Lee,Ben Hardy,$216.43M
483,The Way He Looks,2014,25277,7.9,12A,96 mn,"Drama, Romance",71,"Leonardo s a blnd teenager searchng for ndependence. Hs everyday lfe, the relatonshp wth hs best frend, Govana, and the way he sees the world change completely wth the arrval of Gabrel.",Danel Rbero,Ghlherme Lobo,Fabo Aud,Tess Amorm,Lúca Romano,$0.10M
484,The Artst,2011,240245,7.9,PG,100 mn,"Comedy, Drama, Romance",89,An egomanacal flm star develops a relatonshp wth a young dancer aganst the backdrop of Hollywood's slent era.,Mchel Hazanavcus,Jean Dujardn,Bérénce Bejo,John Goodman,James Cromwell,$44.67M
485,Edge of Tomorrow,2014,661279,7.9,12A,113 mn,"Acton, Adventure, Sc-F",71,"A solder fghtng alens gets to relve the same day over and over agan, the day restartng every tme he des.",Doug Lman,Tom Cruse,Emly Blunt,Bll Paxton,Brendan Gleeson,$100.21M
486,Amour,2012,99672,7.9,12A,127 mn,Drama,94,"Georges and Anne are an octogenaran couple. They are cultvated, retred musc teachers. Ther daughter, also a muscan, lves n Brtan wth her famly. One day, Anne has a stroke, and the couple's bond of love s severely tested.",Mchael Haneke,Jean-Lous Trntgnant,Emmanuelle Rva,sabelle Huppert,Alexandre Tharaud,$6.74M
487,About Elly,2009,53112,7.9,12A,119 mn,"Drama, Mystery",87,The mysterous dsappearance of a kndergarten teacher durng a pcnc n the north of ran s followed by a seres of msadventures for her fellow travelers.,Asghar Farhad,Golshfteh Farahan,Shahab Hossen,Taraneh Aldoost,Merla Zare',$0.11M
488,Dev.D,2009,30537,7.9,15,144 mn,"Comedy, Drama, Romance",,"After breakng up wth hs chldhood sweetheart, a young man fnds solace n drugs. Meanwhle, a teenage grl s caught n the world of prosttuton. Wll they be destroyed, or wll they fnd redempton?",Anurag Kashyap,Abhay Deol,Mahe Gll,Kalk Koechln,Dbyendu Bhattacharya,$0.01M
489,My Name s Khan,2010,105796,7.9,12A,165 mn,"Drama, Romance",50,An ndan Muslm man wth Asperger's syndrome takes a challenge to speak to the Presdent of the Unted States serously and embarks on a cross-country journey.,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Kate Amanda Keane,$4.02M
490,The Breath,2009,33604,7.9,15,128 mn,"Acton, Drama, Thrller",,Story of 40-man Turksh task force who must defend a relay staton.,Levent Semerc,Erdem Can,Mete Horozoglu,lker Kzmaz,Bars Bagc,
491,Let the Rght One n,2008,215256,7.9,15,114 mn,"Drama, Fantasy, Horror",82,"Oskar, an overlooked and bulled boy, fnds love and revenge through El, a beautful but pecular grl.",Tomas Alfredson,Kåre Hedebrant,Lna Leandersson,Per Ragnar,Henrk Dahl,$2.12M
492,Dstrct 9,2009,673187,7.9,15,112 mn,"Acton, Sc-F, Thrller",81,Volence ensues after an extraterrestral race forced to lve n slum-lke condtons on Earth fnds a kndred sprt n a government agent exposed to ther botechnology.,Nell Blomkamp,Sharlto Copley,Davd James,Jason Cope,Nathale Boltt,$115.65M
493,The Wrestler,2008,303298,7.9,15,109 mn,"Drama, Sport",80,"A faded professonal wrestler must retre, but fnds hs quest for a new lfe outsde the rng a dsprtng struggle.",Darren Aronofsky,Mckey Rourke,Marsa Tome,Evan Rachel Wood,Mark Margols,$26.24M
494,Jab We Met,2007,52405,7.9,PG,138 mn,"Comedy, Drama, Romance",,A depressed wealthy busnessman fnds hs lfe changng after he meets a spunky and care-free young woman.,mtaz Al,Shahd Kapoor,Kareena Kapoor,Tarun Arora,Dara Sngh Randhawa,$0.41M
495,Boyhood,2014,351729,7.9,15,165 mn,Drama,100,"The lfe of Mason, from early chldhood to hs arrval at college.",Rchard Lnklater,Ellar Coltrane,Patrca Arquette,Ethan Hawke,Eljah Smth,$25.38M
496,The Worst Person n the World,2021,48974,7.9,15,128 mn,"Comedy, Drama, Romance",90,"The chroncles of four years n the lfe of Jule, a young woman who navgates the troubled waters of her love lfe and struggles to fnd her career path, leadng her to take a realstc look at who she really s.",Joachm Trer,Renate Rensve,Anders Danelsen Le,Herbert Nordrum,Hans Olav Brenner,
497,"4 Months, 3 Weeks and 2 Days",2007,59980,7.9,15,113 mn,Drama,97,A woman asssts her frend n arrangng an llegal aborton n 1980s Romana.,Crstan Mungu,Anamara Marnca,Laura Vaslu,Vlad vanov,Alexandru Potocean,$1.19M
498,Star Trek,2009,599520,7.9,12A,127 mn,"Acton, Adventure, Sc-F",82,The brash James T. Krk tres to lve up to hs father's legacy wth Mr. Spock keepng hm n check as a vengeful Romulan from the future creates black holes to destroy the Federaton one planet at a tme.,J.J. Abrams,Chrs Pne,Zachary Qunto,Smon Pegg,Leonard Nmoy,$257.73M
499,Dallas Buyers Club,2013,480285,7.9,15,117 mn,"Bography, Drama",79,"n 1985 Dallas, electrcan and hustler Ron Woodroof works around the system to help ADS patents get the medcaton they need after he s dagnosed wth the dsease.",Jean-Marc Vallée,Matthew McConaughey,Jennfer Garner,Jared Leto,Steve Zahn,$27.30M
500,n Bruges,2008,416514,7.9,18,107 mn,"Comedy, Crme, Drama",67,"Gult-strcken after a job gone wrong, htman Ray and hs partner awat orders from ther ruthless boss n Bruges, Belgum, the last place n the world Ray wants to be.",Martn McDonagh,Coln Farrell,Brendan Gleeson,Carán Hnds,Elzabeth Berrngton,$7.76M
501,The Man from Earth,2007,185755,7.9,PG,87 mn,"Drama, Fantasy, Mystery",,An mpromptu goodbye party for Professor John Oldman becomes a mysterous nterrogaton after the retrng scholar reveals to hs colleagues he has a longer and stranger past than they can magne.,Rchard Schenkman,Davd Lee Smth,Tony Todd,John Bllngsley,Ellen Crawford,
502,Letters from wo Jma,2006,161879,7.9,15,141 mn,"Acton, Adventure, Drama",89,"The story of the battle of wo Jma between the Unted States and mperal Japan durng World War , as told from the perspectve of the Japanese who fought t.",Clnt Eastwood,Ken Watanabe,Kazunar Nnomya,Tsuyosh hara,Ryô Kase,$13.76M
503,Lfe of P,2012,619821,7.9,PG,127 mn,"Adventure, Drama, Fantasy",79,"A young man who survves a dsaster at sea s hurtled nto an epc journey of adventure and dscovery. Whle cast away, he forms an unexpected connecton wth another survvor: a fearsome Bengal tger.",Ang Lee,Suraj Sharma,rrfan Khan,Adl Hussan,Tabu,$124.99M
504,Fantastc Mr. Fox,2009,226539,7.9,PG,87 mn,"Anmaton, Adventure, Comedy",83,An urbane fox cannot resst returnng to hs farm radng ways and then must help hs communty survve the farmers' retalaton.,Wes Anderson,George Clooney,Meryl Streep,Bll Murray,Jason Schwartzman,$21.00M
505,3-ron,2004,54823,7.9,15,88 mn,"Crme, Drama, Romance",72,A transent young man breaks nto empty homes to partake of the vacatonng resdents' lves for a few days.,Km K-duk,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jn-mo Joo,$0.24M
506,C.R.A.Z.Y.,2005,32808,7.9,15,129 mn,"Comedy, Drama",81,"A young French Canadan, one of fve boys n a conservatve famly n the 1960s and 1970s, struggles to reconcle hs emergng dentty wth hs father's values.",Jean-Marc Vallée,Mchel Côté,Marc-André Grondn,Danelle Proulx,Émle Vallée,
507,The Return,2003,45343,7.9,12,110 mn,Drama,82,"n the Russan wlderness, two brothers face a range of new, conflctng emotons when ther father - a man they know only through a sngle photograph - resurfaces.",Andrey Zvyagntsev,Vladmr Garn,van Dobronravov,Konstantn Lavronenko,Natalya Vdovna,$0.50M
508,ron Man,2008,1033503,7.9,12A,126 mn,"Acton, Adventure, Sc-F",79,"After beng held captve n an Afghan cave, bllonare engneer Tony Stark creates a unque weaponzed sut of armor to fght evl.",Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Brdges,$318.41M
509,Shaun of the Dead,2004,548991,7.9,15,99 mn,"Comedy, Horror",76,"The uneventful, amless lves of a London electroncs salesman and hs layabout roommate are dsrupted by the zombe apocalypse.",Edgar Wrght,Smon Pegg,Nck Frost,Kate Ashfeld,Lucy Davs,$13.54M
510,Kal Ho Naa Ho,2003,68442,7.9,12A,186 mn,"Comedy, Drama, Muscal",54,"Nana, an ntroverted, perpetually depressed grl's lfe changes when she meets Aman. But Aman has a secret of hs own whch changes ther lves forever. Embroled n all ths s Roht, Nana's best frend who conceals hs love for her.",Nkkhl Advan,Prety Znta,Shah Rukh Khan,Saf Al Khan,Jaya Bachchan,$1.79M
511,Head-On,2004,54075,7.9,18,121 mn,"Drama, Romance",78,"Wth the ntenton to break free from the strct famlal restrctons, a sucdal young woman sets up a marrage of convenence wth a forty-year-old addct, an act that wll lead to an outburst of envous love.",Fath Akn,Brol Ünel,Sbel Kekll,Güven Kraç,Zarah Jane McKenze,
512,Mystc Rver,2003,450809,7.9,15,138 mn,"Crme, Drama, Mystery",84,The lves of three men who were chldhood frends are shattered when one of them has a famly tragedy.,Clnt Eastwood,Sean Penn,Tm Robbns,Kevn Bacon,Emmy Rossum,$90.14M
513,Harry Potter and the Prsoner of Azkaban,2004,618358,7.9,PG,142 mn,"Adventure, Famly, Fantasy",82,"Harry Potter, Ron and Hermone return to Hogwarts School of Wtchcraft and Wzardry for ther thrd year of study, where they delve nto the mystery surroundng an escaped prsoner who poses a dangerous threat to the young wzard.",Alfonso Cuarón,Danel Radclffe,Emma Watson,Rupert Grnt,Rchard Grffths,$249.36M
514,Hero,2002,180528,7.9,12A,120 mn,"Acton, Adventure, Drama",85,"A defense offcer, Nameless, was summoned by the Kng of Qn regardng hs success of termnatng three warrors.",Ymou Zhang,Jet L,Tony Chu-Wa Leung,Magge Cheung,Zy Zhang,$53.71M
515,Talk to Her,2002,111779,7.9,15,112 mn,"Drama, Mystery, Romance",86,Two men share an odd frendshp whle they care for two women who are both n deep comas.,Pedro Almodóvar,Rosaro Flores,Javer Cámara,Darío Grandnett,Leonor Watlng,$9.28M
516,No Man's Land,2001,47007,7.9,15,98 mn,"Comedy, Drama, War",84,"Bosna and Herzegovna durng 1993 at the tme of the heavest fghtng between the two warrng sdes. Two solders from opposng sdes n the conflct, Nno and Ck, become trapped n no man's land, whlst a thrd solder becomes a lvng booby trap.",Dans Tanovc,Branko Djurc,Rene Btorajac,Flp Sovagovc,Georges Satds,$1.06M
517,The Bourne dentty,2002,540414,7.9,12A,119 mn,"Acton, Mystery, Thrller",68,"A man s pcked up by a fshng boat, bullet-rddled and sufferng from amnesa, before racng to elude assassns and attemptng to regan hs memory.",Doug Lman,Franka Potente,Matt Damon,Chrs Cooper,Clve Owen,$121.66M
518,Nne Queens,2000,52656,7.9,15,114 mn,"Crme, Drama, Thrller",80,"Two con artsts try to swndle a stamp collector by sellng hm a sheet of counterfet rare stamps  the ""nne queens"" .",Fabán Belnsky,Rcardo Darín,Gastón Pauls,Gracela Tenenbaum,María Mercedes Vllagra,$1.22M
519,Chldren of Men,2006,494064,7.9,15,109 mn,"Acton, Drama, Sc-F",84,"n 2027, n a chaotc world n whch women have somehow become nfertle, a former actvst agrees to help transport a mraculously pregnant woman to a sanctuary at sea.",Alfonso Cuarón,Julanne Moore,Clve Owen,Chwetel Ejofor,Mchael Cane,$35.55M
520,"Crouchng Tger, Hdden Dragon",2000,266856,7.9,12,120 mn,"Acton, Adventure, Drama",94,A young Chnese warror steals a sword from a famed swordsman and then escapes nto a world of romantc adventure wth a mysterous man n the fronter of the naton.,Ang Lee,Chow Yun-Fat,Mchelle Yeoh,Zy Zhang,Chang Chen,$128.08M
521,Almost Famous,2000,273240,7.9,15,122 mn,"Adventure, Comedy, Drama",90,A hgh-school boy n the early 1970s s gven the chance to wrte a story for Rollng Stone magazne about an up-and-comng rock band as he accompanes them on ther concert tour.,Cameron Crowe,Blly Crudup,Patrck Fugt,Kate Hudson,Frances McDormand,$32.53M
522,Dancer n the Dark,2000,109101,7.9,15,140 mn,"Crme, Drama, Muscal",61,An Eastern European US mmgrant wth a love for muscals has to cope wth the gradual loss of her vson.,Lars von Trer,Björk,Catherne Deneuve,Davd Morse,Peter Stormare,$4.18M
523,Mulholland Drve,2001,349617,7.9,15,147 mn,"Drama, Mystery, Thrller",85,"After a car wreck on the wndng Mulholland Drve renders a woman amnesac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles n a twstng venture beyond dreams and realty.",Davd Lynch,Naom Watts,Laura Harrng,Justn Theroux,Jeanne Bates,$7.22M
524,Shrek,2001,663224,7.9,U,90 mn,"Anmaton, Adventure, Comedy",84,"A mean lord exles farytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a prncess for the lord n order to get hs land back.",Andrew Adamson,Vcky Jenson,Mke Myers,Edde Murphy,Cameron Daz,$267.67M
525,Toy Story 2,1999,569869,7.9,U,92 mn,"Anmaton, Adventure, Comedy",88,"When Woody s stolen by a toy collector, Buzz and hs frends set out on a rescue msson to save Woody before he becomes a museum toy property wth hs roundup gang Jesse, Prospector, and Bullseye.",John Lasseter,Ash Brannon,Lee Unkrch,Tom Hanks,Tm Allen,$245.85M
526,Ttanc,1997,1141533,7.9,12,194 mn,"Drama, Romance",75,"A seventeen-year-old arstocrat falls n love wth a knd but poor artst aboard the luxurous, ll-fated R.M.S. Ttanc.",James Cameron,Leonardo DCapro,Kate Wnslet,Blly Zane,Kathy Bates,$659.33M
527,Knockn' on Heaven's Door,1997,30288,7.9,,87 mn,"Acton, Crme, Comedy",,"Two termnally ll patents escape from a hosptal, steal a car and rush towards the sea.",Thomas Jahn,Tl Schweger,Jan Josef Lefers,Therry van Werveke,Mortz Blebtreu,$0.00M
528,Booge Nghts,1997,261028,7.9,18,155 mn,Drama,85,"Back when sex was safe, pleasure was a busness and busness was boomng, an dealstc porn producer aspres to elevate hs craft to an art when he dscovers a hot young talent.",Paul Thomas Anderson,Mark Wahlberg,Julanne Moore,Burt Reynolds,Lus Guzmán,$26.40M
529,Whsper of the Heart,1995,61260,7.9,U,111 mn,"Anmaton, Drama, Famly",75,"A love story between a grl who loves readng books, and a boy who has prevously checked out all of the lbrary books she chooses.",Yoshfum Kondô,Yoko Honna,ssey Takahash,Takash Tachbana,Shgeru Muro,
530,Ghost n the Shell,1995,141005,7.9,15,83 mn,"Anmaton, Acton, Crme",76,A cyborg polcewoman and her partner hunt a mysterous and powerful hacker called the Puppet Master.,Mamoru Osh,Atsuko Tanaka,emasa Kayum,Ako Ôtsuka,Kôch Yamadera,$0.52M
531,Once Were Warrors,1994,34110,7.9,18,102 mn,"Crme, Drama",77,A famly descended from Maor warrors s bedevled by a volent father and the socetal problems of beng treated as outcasts.,Lee Tamahor,Rena Owen,Temuera Morrson,Mamaengaroa Kerr-Bell,Julan Arahanga,$2.20M
532,True Romance,1993,224178,7.9,18,119 mn,"Crme, Drama, Romance",59,"n Detrot, a lonely pop culture geek marres a call grl, steals cocane from her pmp, and tres to sell t n Hollywood. Meanwhle, the owners of the cocane, the Mob, track them down n an attempt to reclam t.",Tony Scott,Chrstan Slater,Patrca Arquette,Denns Hopper,Val Klmer,$12.28M
533,Three Colors: Blue,1993,100619,7.9,15,94 mn,"Drama, Musc, Mystery",85,A woman struggles to fnd a way to lve her lfe after the death of her husband and chld.,Krzysztof Keslowsk,Julette Bnoche,Zbgnew Zamachowsk,Jule Delpy,Benoît Régent,$1.32M
534,The Nghtmare Before Chrstmas,1993,328243,7.9,PG,76 mn,"Anmaton, Famly, Fantasy",82,"Jack Skellngton, kng of Halloween Town, dscovers Chrstmas Town, but hs attempts to brng Chrstmas to hs home causes confuson.",Henry Selck,Danny Elfman,Chrs Sarandon,Catherne O'Hara,Wllam Hckey,$75.08M
535,Carlto's Way,1993,215345,7.9,18,144 mn,"Crme, Drama, Thrller",65,"A Puerto Rcan former convct, just released from prson, pledges to stay away from drugs and volence despte the pressure around hm and lead on to a better lfe outsde of N.Y.C.",Bran De Palma,Al Pacno,Sean Penn,Penelope Ann Mller,John Leguzamo,$36.95M
536,"Blood n, Blood Out",1993,31180,7.9,18,180 mn,"Crme, Drama",47,"Based on the true lfe experences of poet Jmmy Santago Baca, the flm focuses on step-brothers Paco and Cruz, and ther b-racal cousn Mklo.",Taylor Hackford,Daman Chapa,Jesse Borrego,Benjamn Bratt,Enrque Castllo,$4.50M
537,Edward Scssorhands,1990,481156,7.9,U,105 mn,"Drama, Fantasy, Romance",74,"An artfcal man, who was ncompletely constructed and has scssors for hands, leads a soltary lfe. Then one day, a suburban lady meets hm and ntroduces hm to her world.",Tm Burton,Johnny Depp,Wnona Ryder,Danne West,Anthony Mchael Hall,$56.36M
538,My Left Foot,1989,73775,7.9,15,103 mn,"Bography, Drama",97,", born wth cerebral palsy, learns to pant and wrte wth hs only controllable lmb - hs left foot.",Jm Sherdan,Danel Day-Lews,Brenda Frcker,Alson Whelan,Krsten Sherdan,$14.74M
539,Do the Rght Thng,1989,100836,7.9,18,120 mn,"Comedy, Drama",93,"On the hottest day of the year on a street n the Bedford-Stuyvesant secton of Brooklyn, everyone's hate and bgotry smolders and bulds untl t explodes nto volence.",Spke Lee,Danny Aello,Osse Davs,Ruby Dee,Rchard Edson,$27.55M
540,The Untouchables,1987,305096,7.9,15,119 mn,"Crme, Drama, Thrller",79,"Durng the era of Prohbton n the Unted States, Federal Agent  sets out to stop ruthless Chcago gangster  and, because of rampant corrupton, assembles a small, hand-pcked team to help hm.",Bran De Palma,Kevn Costner,Sean Connery,Robert De Nro,Charles Martn Smth,$76.27M
541,The Sacrfce,1986,27990,7.9,12A,149 mn,Drama,,"At the dawn of World War , a man searches for a way to restore peace to the world and fnds he must gve somethng n return.",Andre Tarkovsky,Erland Josephson,Susan Fleetwood,Allan Edwall,Guðrún Gísladóttr,$0.30M
542,Hannah and Her Ssters,1986,71178,7.9,15,107 mn,"Comedy, Drama",90,"Between two Thanksgvngs two years apart, Hannah's husband falls n love wth her sster Lee, whle her hypochondrac ex-husband rekndles hs relatonshp wth her sster Holly.",Woody Allen,Ma Farrow,Danne West,Mchael Cane,Barbara Hershey,$40.08M
543,Brazl,1985,199250,7.9,15,132 mn,"Drama, Sc-F",84,A bureaucrat n a dystopc socety becomes an enemy of the state as he pursues the woman of hs dreams.,Terry Gllam,Jonathan Pryce,Km Grest,Robert De Nro,Katherne Helmond,$9.93M
544,Ths s Spnal Tap,1984,138745,7.9,15,82 mn,"Comedy, Musc",92,"Spnal Tap, one of England's loudest bands, s chroncled by flm drector Marty DBerg on what proves to be a fateful tour.",Rob Rener,Rob Rener,Mchael McKean,Chrstopher Guest,Kmberly Strnger,$4.74M
545,A Chrstmas Story,1983,146596,7.9,PG,93 mn,"Comedy, Famly",77,"n the 1940s, a young boy named Ralphe Parker attempts to convnce hs parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really s the perfect Chrstmas gft.",Bob Clark,Peter Bllngsley,Melnda Dllon,Darren McGavn,Scott Schwartz,$20.61M
546,E.T. the Extra-Terrestral,1982,401149,7.9,U,115 mn,"Adventure, Famly, Sc-F",91,A troubled chld summons the courage to help a frendly alen escape from Earth and return to hs home planet.,Steven Spelberg,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace,$435.11M
547,Kagemusha,1980,35441,7.9,A,180 mn,"Drama, Hstory, War",84,A petty thef wth an utter resemblance to a samura warlord s hred as the lord's double. When the warlord later des the thef s forced to take up arms n hs place.,Akra Kurosawa,Tatsuya Nakada,Tsutomu Yamazak,Ken'ch Hagwara,Jnpach Nezu,
548,The Blues Brothers,1980,196859,7.9,AA,133 mn,"Acton, Adventure, Comedy",60,"Jake Blues rejons wth hs brother Elwood after beng released from prson, but the duo has just days to reunte ther old R&B band and save the Catholc home where the two were rased, outrunnng the polce as they tear through Chcago.",John Lands,John Belush,Dan Aykroyd,Cab Calloway,John Candy,$57.23M
549,Manhattan,1979,139317,7.9,AA,96 mn,"Comedy, Drama, Romance",83,The lfe of a dvorced televson wrter datng a teenage grl s further complcated when he falls n love wth hs best frend's mstress.,Woody Allen,Woody Allen,Dane Keaton,Marel Hemngway,Mchael Murphy,$45.70M
550,All the Presdent's Men,1976,114078,7.9,AA,138 mn,"Drama, Hstory, Thrller",84,"""The Washngton Post"" reporters  and  uncover the detals of the Watergate scandal that leads to Presdent 's resgnaton.",Alan J. Pakula,Dustn Hoffman,Robert Redford,Jack Warden,Martn Balsam,$70.60M
551,Amarcord,1973,43347,7.9,X,123 mn,"Comedy, Drama",,A seres of comedc and nostalgc vgnettes set n a 1930s talan coastal town.,Federco Felln,Magal Noël,Bruno Zann,Pupella Maggo,Armando Branca,$0.58M
552,Harold and Maude,1971,76947,7.9,AA,91 mn,"Comedy, Drama, Romance",62,"Young, rch, and obsessed wth death, Harold fnds hmself changed forever when he meets lvely septuagenaran Maude at a funeral.",Hal Ashby,Ruth Gordon,Bud Cort,Vvan Pckles,Cyrl Cusack,
553,Patton,1970,101431,7.9,A,172 mn,"Bography, Drama, War",91,The World War phase of the career of controversal Amercan general .,Frankln J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Mchael Strong,$61.70M
554,The Conformst,1970,30206,7.9,X,113 mn,Drama,100,"A weak-wlled talan man becomes a fascst flunky who goes abroad to arrange the assassnaton of hs old teacher, now a poltcal dssdent.",Bernardo Bertolucc,Jean-Lous Trntgnant,Stefana Sandrell,Gastone Moschn,Enzo Tarasco,$0.54M
555,The Wld Bunch,1969,84111,7.9,18,145 mn,"Acton, Adventure, Western",97,"An agng group of outlaws look for one last bg score as the ""tradtonal"" Amercan West s dsappearng around them.",Sam Pecknpah,Wllam Holden,Ernest Borgnne,Robert Ryan,Edmond O'Bren,$12.06M
556,The Lon n Wnter,1968,31372,7.9,A,134 mn,"Bography, Drama, Hstory",,"1183 A.D.: Kng Henry 's three sons all want to nhert the throne, but he won't commt to a choce. When he allows hs mprsoned wfe Eleanor of Aqutane out for a Chrstmas vst, they all varously plot to force hm nto a decson.",Anthony Harvey,Peter O'Toole,Katharne Hepburn,Anthony Hopkns,John Castle,$22.28M
